tag_header,tag_para,tag_formatting,word_count,interacting_span_tag,relative_x_coord,relative_y_coord,relative_listings,relative_hyperlinks,tag_img,src_img_interaction,red_flag_class,tag_table,tag_sup,tag_sup_child,red_flag_id,relative_table_elements,height_width_diff,label
NO,NO,NO,2,NO,0.998716045,0.018017505,0,0.5,NO,NO,NO,NO,NO,NO,NO,0,-127.8666534,0
NO,NO,NO,2,NO,0.998716045,0.018128724,0,0,NO,NO,NO,NO,NO,NO,NO,0,-59.41665649,0
NO,NO,NO,3,NO,0.998716045,0.018721893,0,0.333333333,NO,NO,NO,NO,NO,NO,NO,0,-127.8666534,0
NO,NO,NO,3,NO,0.998716045,0.018796039,0,0,NO,NO,NO,NO,NO,NO,NO,0,-50.46665955,0
NO,NO,NO,11,NO,0.896918542,0.019537501,0,0.181818182,NO,NO,NO,NO,NO,NO,NO,0.181818182,-219.4666901,0
NO,NO,NO,2,NO,0.896918542,0.019537501,0,0,NO,NO,NO,NO,NO,NO,NO,0,-68.11668396,0
NO,NO,NO,10,NO,0.997798951,0.019537501,0,0.2,NO,NO,NO,NO,NO,NO,NO,0,-109.3833313,0
NO,NO,YES,6,NO,0.998716045,0.019685793,0,0.166666667,NO,NO,NO,NO,NO,NO,NO,0,-108.9000092,0
NO,NO,NO,6,NO,0.998716045,0.019685793,0,0,NO,NO,NO,NO,NO,NO,NO,0,-108.9000092,0
NO,NO,NO,0,NO,1.110601589,0.019574574,10,10,NO,NO,NO,NO,NO,NO,NO,100,18.4666748,0
NO,NO,NO,4,NO,1.013389559,0.020353108,0,0,NO,NO,NO,NO,NO,NO,NO,0,-96.58334351,0
NO,NO,NO,7,NO,0.896918542,0.021094569,0,0.142857143,NO,NO,NO,NO,NO,NO,NO,0.285714286,-219.4666748,0
NO,NO,NO,1,NO,0.896918542,0.021094569,0,0,NO,NO,NO,NO,NO,NO,NO,0,-68.1166687,0
NO,NO,NO,7,NO,0.997798951,0.021094569,0,0.142857143,NO,NO,NO,NO,NO,NO,NO,0,-109.383316,0
NO,NO,NO,6,NO,0.998716045,0.021242861,0,0,NO,NO,NO,NO,NO,NO,NO,0,-74.66665649,0
NO,NO,YES,3,NO,0.998716045,0.021242861,0,0,NO,NO,NO,NO,NO,NO,NO,0,-74.66665649,0
NO,NO,NO,4,NO,0.896918542,0.022651637,0,0.25,NO,NO,NO,NO,NO,NO,NO,0.5,-219.4666901,0
NO,NO,NO,3,NO,0.896918542,0.022651637,0,0,NO,NO,NO,NO,NO,NO,NO,0,-68.11668396,0
NO,NO,NO,2,NO,0.997798951,0.022651637,0,0.5,NO,NO,NO,NO,NO,NO,NO,0,-109.3833313,0
NO,NO,NO,2,NO,0.998716045,0.02279993,0,0,NO,NO,NO,NO,NO,NO,NO,0,-69.2333374,0
NO,NO,NO,3,NO,0.896918542,0.024208706,0,0.333333333,NO,NO,NO,NO,NO,NO,NO,0.666666667,-237.9500122,0
NO,NO,NO,2,NO,0.896918542,0.024208706,0,0,NO,NO,NO,NO,NO,NO,NO,0,-86.6000061,0
NO,NO,NO,2,NO,0.997798951,0.024208706,0,0.5,NO,NO,NO,NO,NO,NO,NO,0,-127.8666534,0
NO,NO,NO,2,NO,1.002384424,0.024356998,0,0,NO,NO,NO,NO,NO,NO,NO,0,-39.31666565,0
NO,NO,NO,2,NO,0.896918542,0.025098459,0,0,NO,NO,NO,NO,NO,NO,NO,1,-237.9500122,0
NO,NO,NO,1,NO,0.896918542,0.025098459,0,0,NO,NO,NO,NO,NO,NO,NO,0,-86.6000061,0
NO,NO,NO,2,NO,0.997798951,0.025098459,0,0,NO,NO,NO,NO,NO,NO,NO,0,-127.8666534,0
NO,NO,NO,4,NO,0.896918542,0.025951139,0,0,NO,NO,NO,NO,NO,NO,NO,0.5,-237.9500122,0
NO,NO,NO,3,NO,0.896918542,0.025951139,0,0,NO,NO,NO,NO,NO,NO,NO,0,-86.6000061,0
NO,NO,NO,2,NO,0.997798951,0.025951139,0,0,NO,NO,NO,NO,NO,NO,NO,0,-127.8666534,0
NO,NO,NO,2,NO,0.896918542,0.026840893,0,0,NO,NO,NO,NO,NO,NO,NO,1,-219.4666901,0
NO,NO,NO,2,NO,0.896918542,0.026840893,0,0,NO,NO,NO,NO,NO,NO,NO,0,-68.11668396,0
NO,NO,NO,1,NO,0.897835637,0.027619427,0,0,NO,NO,YES,NO,NO,NO,NO,0,-55.4833374,0
NO,NO,NO,1,NO,0.997798951,0.026840893,0,0,NO,NO,NO,NO,NO,NO,NO,0,-109.3833313,0
NO,NO,NO,3,NO,0.896918542,0.028397961,0,0,NO,NO,NO,NO,NO,NO,NO,0.666666667,-237.9500122,0
NO,NO,NO,3,NO,0.896918542,0.028397961,0,0,NO,NO,NO,NO,NO,NO,NO,0,-86.6000061,0
NO,NO,NO,1,NO,0.897835637,0.02850918,0,0,NO,NO,NO,NO,NO,NO,NO,0,-6.233337402,0
NO,NO,NO,1,NO,0.997798951,0.028397961,0,0,NO,NO,NO,NO,NO,NO,NO,0,-127.8666534,0
NO,NO,NO,6,NO,0.896918542,0.029250641,0,0.166666667,NO,NO,NO,NO,NO,NO,NO,0.333333333,-237.9500275,0
NO,NO,NO,3,NO,0.896918542,0.029250641,0,0,NO,NO,NO,NO,NO,NO,NO,0,-86.60002136,0
NO,NO,NO,1,NO,0.897835637,0.02936186,0,0,NO,NO,NO,NO,NO,NO,NO,0,-6.233352661,0
NO,NO,NO,4,NO,0.997798951,0.029250641,0,0.25,NO,NO,NO,NO,NO,NO,NO,0,-127.8666687,0
NO,NO,NO,3,NO,1.014306654,0.02936186,0,0.333333333,NO,NO,YES,NO,NO,NO,NO,0,-76.01667786,0
NO,NO,NO,3,NO,1.017975032,0.02936186,0,0,NO,NO,NO,NO,NO,NO,NO,0,-67.81668091,0
NO,NO,NO,1,NO,0.896918542,0.030103322,0,0,NO,NO,NO,NO,NO,NO,NO,1,-233.7833405,0
NO,NO,NO,1,NO,0.896918542,0.030103322,0,0,NO,NO,NO,NO,NO,NO,NO,0,-233.7833405,0
NO,NO,NO,19,NO,0.896918542,0.031141367,0.421052632,0.263157895,NO,NO,NO,NO,NO,NO,NO,0.105263158,-108.5666809,0
NO,NO,NO,2,NO,0.896918542,0.031141367,0,0,NO,NO,NO,NO,NO,NO,NO,0,42.7833252,0
NO,NO,NO,1,NO,0.897835637,0.031956974,0,0,NO,NO,YES,NO,NO,NO,NO,0,-54.81668091,0
NO,NO,NO,17,NO,0.997798951,0.031141367,0.470588235,0.294117647,NO,NO,NO,NO,NO,NO,NO,0,1.516677856,0
NO,NO,NO,17,NO,0.998716045,0.03117844,0.470588235,0.294117647,NO,NO,NO,NO,NO,NO,NO,0,1.516677856,0
NO,NO,NO,17,NO,0.998716045,0.03117844,0.470588235,0.294117647,NO,NO,NO,NO,NO,NO,NO,0,1.516677856,0
NO,NO,NO,2,NO,0.998716045,0.03117844,0,0,NO,NO,NO,NO,NO,NO,NO,0,-127.8666534,0
NO,NO,NO,3,NO,0.998716045,0.031882828,0,0,NO,NO,NO,NO,NO,NO,NO,0,-127.8666687,0
NO,NO,NO,2,NO,0.998716045,0.032550143,0,0.5,NO,NO,NO,NO,NO,NO,NO,0,-127.8666534,0
NO,NO,NO,2,NO,0.998716045,0.032661362,0,0,NO,NO,NO,NO,NO,NO,NO,0,-73.98332214,0
NO,NO,NO,2,NO,0.998716045,0.033254531,0,0,NO,NO,NO,NO,NO,NO,NO,0,-127.8666534,0
NO,NO,NO,2,NO,0.998716045,0.033921846,0,0.5,NO,NO,NO,NO,NO,NO,NO,0,-127.8666534,0
NO,NO,NO,2,NO,0.998716045,0.033995992,0,0,NO,NO,NO,NO,NO,NO,NO,0,-97.9833374,0
NO,NO,NO,2,NO,0.998716045,0.034626234,0,0.5,NO,NO,NO,NO,NO,NO,NO,0,-127.8666687,0
NO,NO,NO,2,NO,0.998716045,0.034700381,0,0,NO,NO,NO,NO,NO,NO,NO,0,-68.54998779,0
NO,NO,NO,2,NO,0.998716045,0.035293549,0,0.5,NO,NO,NO,NO,NO,NO,NO,0,-127.8666534,0
NO,NO,NO,2,NO,0.998716045,0.035367696,0,0,NO,NO,NO,NO,NO,NO,NO,0,-83.59999084,0
